Names,position,injury type,year
Karl Anthony Towns,C,Calf,2022
Khris Middleton,SF,Knee,2022
Khris Middleton,SF,Wrist,2022
Lonzo Ball,PG,Knee,2022
Kevin Durant,SF,Ankle,2022
Kevin Durant,SF,Knee,2022
Stephen Curry,PG,Leg,2022
Stephen Curry,PG,Hip,2022
Stephen Curry,PG,Shoulder,2022
Stephen Curry,PG,Ankle,2022
Stephen Curry,PG,Elbow,2022
Ben Simmons,PG,Back,2022
Ben Simmons,PG,Knee,2022
Ben Simmons,PG,Calf,2022
LeBron James,PF,Foot,2022
LeBron James,PF,Ankle,2022
LeBron James,PF,Illness,2022
LeBron James,PF,Adductor,2022
Jonathan Isaac,PF,Adductor,2022
Jonathan Isaac,PF,Knee,2022
Jonathan Isaac,PF,Hamstring,2022
Brandon Ingram,SF,Ankle,2022
Brandon Ingram,SF,Toe,2022
Brandon Ingram,SF,Concussion,2022
Bradley Beal,SG,Knee,2022
Bradley Beal,SG,Foot,2022
Bradley Beal,SG,Hamstring,2022
Bradley Beal,SG,Quad,2022
Paul George,SG,Knee,2022
Paul George,SG,Hamstring,2022
Paul George,SG,Illness,2022
Gordon Hayward,SF,Thumb,2022
Gordon Hayward,SF,Hamstring,2022
Gordon Hayward,SF,Shoulder,2022
Kawhi Leonard,SF,Illness,2022
Kawhi Leonard,SF,Ankle,2022
Anthony Davis,C,Foot,2022
Anthony Davis,C,Illness,2022
Anthony Davis,C,Back,2022
Damian Lillard,PG,Calf,2022
Devin Booker,SG,Groin,2022
Devin Booker,SG,Hamstring,2022
Chet Holmgren,C,Foot,2022
Giannis Antetokounmpo,PF,Knee,2022
Giannis Antetokounmpo,PF,Illness,2022
Giannis Antetokounmpo,PF,Quad,2022
Cade Cunningham,PG,Shin,2022
Kyle Lowry,PG,Knee,2022
James Harden,SG,Achilles,2022
James Harden,SG,Foot,2022
Andrew Wiggins,SF,Illness,2022
Andrew Wiggins,SF,Foot,2022
Andrew Wiggins,SF,Adductor,2022
Steven Adams,C,Knee,2022
Steven Adams,C,Illness,2022
Steven Adams,C,Ankle,2022
Steven Adams,C,Hip,2022
Zion Williamson,PF,Hamstring,2022
Zion Williamson,PF,Ankle,2022
Zion Williamson,PF,Hip,2022
Jimmy Butler,SF,Hand,2022
Jimmy Butler,SF,Neck,2022
Jimmy Butler,SF,Back,2022
Jimmy Butler,SF,Ankle,2022
Jimmy Butler,SF,Illness,2022
Jimmy Butler,SF,Knee,2022
Jimmy Butler,SF,Hip,2022
Chris Paul,PG,Hip,2022
Chris Paul,PG,Heel,2022
Danilo Gallinari,PF,Knee ACL,2022
Marvin Bagley III,PF,Concussion,2022
Marvin Bagley III,PF,Ankle,2022
Marvin Bagley III,PF,Hand,2022
Marvin Bagley III,PF,Illness,2022
Marvin Bagley III,PF,Knee,2022
Cody Martin,SF,Knee,2022
Cody Martin,SF,Quad,2022
Collin Sexton,PG,Hamstring,2022
Collin Sexton,PG,Leg,2022
Danny Green,SF,Illness,2022
Danny Green,SF,Knee ACL,2022
Luka Doncic,PG,Thigh,2022
Luka Doncic,PG,Heel,2022
Luka Doncic,PG,Ankle,2022
Luka Doncic,PG,Quad,2022
Gary Payton II,PG,Abdominal,2022
Gary Payton II,PG,Illness,2022
Gary Payton II,PG,Hip,2022
Gary Payton II,PG,Ankle,2022
Michael Porter Jr.,SF,Heel,2022
Michael Porter Jr.,SF,Back,2022
Klay Thompson,SG,Back,2022
Klay Thompson,SG,Knee,2022
Klay Thompson,SG,Achilles,2022
Duncan Robinson,SF,Finger,2022
Duncan Robinson,SF,Ankle,2022
Duncan Robinson,SF,Hand,2022
Davis Bertans,PF,Calf,2022
Davis Bertans,PF,Illness,2022
Davis Bertans,PF,Knee,2022
Myles Turner,C,Back,2022
Myles Turner,C,Hamstring,2022
Myles Turner,C,Ankle,2022
Jaren Jackson Jr.,PF,Elbow,2022
Jaren Jackson Jr.,PF,Calf,2022
Jaren Jackson Jr.,PF,Thigh,2022
Jaren Jackson Jr.,PF,Foot,2022
Bogdan Bogdanovic,SG,Knee,2022
Bogdan Bogdanovic,SG,Back,2022
Bogdan Bogdanovic,SG,Quad,2022
Jusuf Nurkic,C,Concussion,2022
