Names,wingspan,height,weight,shoe
Karl Anthony Towns,2.20,2.10,111,Nike
Khris Middleton,2.08,2.03,100,
Lonzo Ball,2.05,1.98,86,
Kevin Durant,2.23,2.08,108,
Stephen Curry,1.9,1.9,86,
Ben Simmons,2.13,2.08,104,
LeBron James,2.13,2.05,113,
Jonathan Isaac,2.18,2.08,95,
Brandon Ingram,2.2,2.05,86,
Bradley Beal,2.03,1.95,93,
Paul George,2.1,2.05,99,
Gordon Hayward,2.0,2.03,102,
Kawhi Leonard,2.2,2.0,104,
Anthony Davis,2.26,2.08,114,
Damian Lillard,2.0,1.9,88,
Devin Booker,2.03,1.98,95,
Chet Holmgren,2.33,2.13,88,Any
Giannis Antetokounmpo,2.23,2.1,109,
Cade Cunningham,2.13,2.03,99,Nike
Kyle Lowry,1.9,1.85,88,
James Harden,2.08,1.95,99,
Andrew Wiggins,2.13,2.03,87,
Steven Adams,2.23,2.13,120,
Zion Williamson,2.08,1.98,129,
Jimmy Butler,2.03,2.03,105,
Chris Paul,1.93,1.82,79,
Danilo Gallinari,2.15,2.08,102,
Marvin Bagley III,2.13,2.1,106,
Cody Martin,2.08,1.95,92,
Collin Sexton,2.0,1.85,86,
Danny Green,2.08,1.98,97,
Luka Doncic,2.03,2.0,98,
Gary Payton II,2.03,1.9,86,
Michael Porter Jr.,2.13,2.08,95,
Klay Thompson,2.05,2.0,97,
Duncan Robinson,2.0,2.03,95,
Davis Bertans,2.08,2.08,102,
Myles Turner,2.23,2.1,113,
Jaren Jackson Jr.,2.23,2.1,109,
Bogdan Bogdanovic,1.93,1.98,92,
Jusuf Nurkic,2.18,2.13,124,
Robert Williams III,2.13,2.03,107,Any
Otto Porter Jr.,2.17,2.03,90,Nike
Daniel Theis,2.03,2.03,110,
Kristaps Porzingis,2.28,2.2,108,
Joel Embiid,2.26,2.13,113,
Bojan Bogdanovic,2.1,2.03,97,
Kelly Oubre Jr.,2.18,2.0,92,
Jamal Murray,1.98,1.93,93,
Al Horford,2.13,2.08,111,
Landry Shamet,2.0,1.95,85,
Maxi Kleber,2.1,2.08,108,
Mitchell Robinson,2.23,2.15,108,
LaMelo Ball,2.08,2.03,88,
Gary Harris,1.98,1.93,95,
Norman Powell,2.1,1.93,97,
Anfernee Simons,2.05,1.93,83,
Pascal Siakam,2.2,2.05,104,
Deandre Ayton,2.26,2.15,113,
D'Angelo Russell,2.08,1.95,89,
Terry Rozier,2.03,1.85,86,
Jalen Brunson,1.93,1.85,86,
Jrue Holiday,2.0,1.93,92,
Donovan Mitchell,2.08,1.9,97,
Markelle Fultz,2.08,1.93,90,
Marcus Smart,2.05,1.9,99,
Kyrie Irving,1.93,1.9,87,
Jerami Grant,2.18,2.03,99,
Trae Young,1.9,1.87,81,
Wendell Carter Jr.,2.2,2.08,115,
Jae'Sean Tate,2.03,1.93,104,Nike
Rudy Gobert,2.33,2.15,111,
Victor Oladipo,2.05,1.93,95,
Nikola Jokic,2.2,2.13,113,
Jaylen Brown,2.1,2.0,99,
Aaron Gordon,2.1,2.05,99,
Luke Kennard,1.95,1.95,93,
Jarrett Allen,2.26,2.1,107,
Gary Trent Jr.,2.05,1.98,92,
Alec Burks,2.08,1.98,97,
Clint Capela,2.23,2.08,108,
Kevin Love,2.1,2.08,110,
Jordan Clarkson,2.03,1.95,87,
Shai Gilgeous-Alexander,2.13,1.98,82,
OG Anunoby,2.18,2.03,105,
Ricky Rubio,2.0,1.9,86,
Malcolm Brogdon,2.08,1.95,103,
John Collins,2.1,2.08,106,
De'Aaron Fox,1.98,1.9,79,
Khem Birch,2.15,2.05,105,
Dylan Windler,2.08,2.03,88,
Tobias Harris,2.1,2.05,106,
Delon Wright,2.03,1.95,83,
Justise Winslow,2.08,2.0,102,
Draymond Green,2.15,2.0,104,
Lauri Markkanen,2.13,2.13,108,
Bam Adebayo,2.2,2.08,115,
Cameron Johnson,2.08,2.03,92,
Andre Iguodala,2.1,1.98,97,
Marcus Morris Sr.,2.08,2.03,98,Any
Doug McDermott,2.05,2.0,102,
Kyle Kuzma,2.13,2.05,99,
Joe Ingles,2.08,2.03,102,
Tim Hardaway Jr.,2.0,1.98,92,
DeMar DeRozan,2.05,2.0,99,
Mike Conley,1.95,1.85,79,
Jalen Suggs,1.98,1.93,92,Nike
Cameron Payne,2.0,1.9,86,
Dorian Finney-Smith,2.13,2.0,99,
Mohamed Bamba,2.38,2.13,100,
Devin Vassell,2.08,1.95,90,Nike
Kelly Olynyk,2.05,2.1,108,
Monte Morris,1.93,1.87,79,
Taurean Prince,2.1,2.03,99,
Christian Wood,2.2,2.08,97,
Romeo Langford,2.1,1.93,97,
Fred VanVleet,1.87,1.82,88,
Jayson Tatum,2.1,2.03,94,
Larry Nance Jr.,2.18,2.05,104,
Ziaire Williams,2.08,2.05,83,Any
Aleksej Pokusevski,2.2,2.13,88,Nike
Derrick Rose,2.03,1.9,86,
Joe Harris,1.98,1.98,98,
De'Andre Hunter,2.18,2.0,102,
Eric Gordon,2.05,1.93,97,
Josh Richardson,2.08,1.98,90,
Russell Westbrook,2.0,1.9,90,
Caris LeVert,2.08,2.0,92,
Zach Collins,2.18,2.1,106,
Seth Curry,1.98,1.87,83,
Pat Connaughton,2.05,1.93,94,
Ja Morant,2.0,1.9,79,
Chris Duarte,2.05,1.98,86,Nike
Dewayne Dedmon,2.23,2.13,111,
Alex Caruso,1.98,1.95,84,
Bobby Portis,2.18,2.08,113,
Rudy Gay,2.2,2.03,104,
Luguentz Dort,2.03,1.9,97,
James Wiseman,2.2,2.15,106,
John Wall,2.05,1.93,95,
Chuma Okeke,2.08,1.98,103,Any
Jeremy Sochan,2.15,2.05,104,Any
Dejounte Murray,2.08,1.95,77,
Darius Garland,1.95,1.87,79,
Julius Randle,2.13,2.03,113,
Omer Yurtseven,2.2,2.1,124,Nike
C.J. McCollum,1.98,1.9,86,
Nassir Little,2.15,1.95,101,
Lonnie Walker IV,2.08,1.95,92,
Paolo Banchero,2.18,2.08,108,Any
Kyle Anderson,2.18,2.05,104,
R.J. Barrett,2.08,2.0,95,
Brandon Clarke,2.03,2.03,93,
Nikola Jovic,2.18,2.08,92,Any
Tyrese Haliburton,2.05,1.95,79,Nike
Dyson Daniels,2.13,2.03,88,Any
Jakob Poeltl,2.18,2.15,104,
Isaiah Stewart,2.23,2.03,113,Nike
Rui Hachimura,2.08,2.03,106,
Hamidou Diallo,2.1,1.95,89,
Kevin Huerter,2.0,2.0,86,
Zach LaVine,2.03,1.95,90,
Jeff Green,2.15,2.05,106,
Javonte Green,2.13,1.93,99,
Kira Lewis Jr.,1.95,1.85,77,Nike
Kentavious Caldwell-Pope,2.03,1.95,92,
Kevin Porter Jr.,2.05,1.98,96,
Tyler Herro,1.9,1.98,87,
Ousmane Dieng,2.18,2.08,83,Nike
Mark Williams,2.28,2.18,109,Any
Jordan McLaughlin,1.93,1.8,77,Any
Precious Achiuwa,2.18,2.03,102,Any
Obi Toppin,2.15,2.05,99,Nike
T.J. Warren,2.08,2.03,97,
Grayson Allen,2.0,1.95,89,
Jonathan Kuminga,2.2,2.03,95,Nike
Patrick Beverley,1.98,1.85,83,
Cole Anthony,2.0,1.9,88,
Jalen Duren,2.2,2.1,108,Any
Caleb Martin,2.1,1.95,92,
Ivica Zubac,2.2,2.13,108,
Blake Wesley,2.0,1.93,83,Any
Keon Johnson,2.13,1.98,83,Nike
Zeke Nnaji,2.18,2.05,108,Nike
Coby White,1.95,1.95,86,
Dennis Smith Jr.,1.9,1.9,88,
Will Barton,2.05,1.98,86,
Dean Wade,2.13,2.05,103,
Tyrese Maxey,1.98,1.87,90,Nike
Jae Crowder,2.03,1.98,106,
Josh Green,2.08,1.95,90,Nike
Cory Joseph,1.95,1.9,87,
Goran Dragic,1.98,1.9,86,
Jake LaRavia,2.08,2.0,106,Any
Devonte' Graham,1.99,1.85 ,88,Nike
P.J. Tucker,2.05,1.98,111,
Chris Boucher,2.23,2.08,90,
Keldon Johnson,2.05,1.95,95,
Desmond Bane,1.98,1.95,97,Nike
Udonis Haslem,2.1,2.03,106,
Bruno Fernando,2.2,2.05,107,
Jalen Green,2.13,1.98,80,Nike
Jonas Valanciunas,2.2,2.13,120,
Dillon Brooks,1.98,1.98,99,
Kenrich Williams,2.05,1.98,95,
Nerlens Noel,2.2,2.1,99,
Cam Reddish,2.16,2.01,98,Nike
Jeremiah Robinson-Earl,2.05,2.03,109,Any
Donte DiVincenzo,1.98,1.93,92,
Nicolas Batum,2.13,2.05,90,
T.J. McConnell,1.85,1.85,86,
PJ Washington,2.18,2.01,104,Nike
Domantas Sabonis,2.08,2.1,108,
Reggie Jackson,2.13,1.9,94,
Talen Horton-Tucker,2.15,1.93,106,
Isaiah Livers,2.05,1.98,105,Any
Isaac Okoro,2.03,1.98,102,Nike
Austin Rivers,2.0,1.93,90,
Furkan Korkmaz,2.03,2.0,86,
Dennis Schroder,2.03,1.85,78,Puma
Anthony Edwards,2.05,1.95,95,
Malik Monk,1.93,1.9,90,
Scottie Barnes,2.18,2.0,102,Nike
JaMychal Green,2.18,2.05,102,
KZ Okpala,2.15,2.03,95,
Aaron Nesmith,2.03,1.95,97,Nike
Josh Hart,2.03,1.95,97,
JaVale McGee,2.28,2.13,122,
Moritz Wagner,2.13,2.1,111,
Cedi Osman,2.03,2.0,97,
De'Anthony Melton,2.03,1.87,90,
Darius Bazley,2.13,2.03,94,
Peyton Watson,2.08,2.0,90,Any
Wesley Matthews,2.03,1.93,99,
Josh Giddey,2.13,2.03,92,Any
Ryan Arcidiacono,1.9,1.9,90,
Thomas Bryant,2.28,2.08,112,
Charles Bassey,2.2,2.05,104,Any
Royce O'Neale,2.08,1.98,102,
Jose Alvarado,1.9,1.82,81,Nike
Jaylen Nowell,2.0,1.93,91,Any
Ryan Rollins,1.98,1.9,86,Nike
Tre Jones,1.95,1.85,83,Nike
Payton Pritchard,1.93,1.85,88,Nike
Jaden Ivey,2.0,1.93,88,Any
Austin Reaves,2.03,1.95,89,Nike
Corey Kispert,2.03,2.0,101,Nike
Jaden Springer,2.0,1.9,91,Nike
Frank Ntilikina,2.13,1.98,90,
Gabe Vincent,1.98,1.9,90,Any
Deni Avdija,2.08,2.05,102,Nike
Jabari Smith Jr.,2.18,2.08,99,Any
Bennedict Mathurin,2.05,1.98,92,Any
Trendon Watford,2.13,2.03,107,Nike
Yuta Watanabe,2.08,2.05,92,
TyTy Washington Jr.,1.98,1.9,88,Any
Alperen Sengun,2.18,2.08,110,Nike
Reggie Bullock,2.03,1.98,92,
Taj Gibson,2.23,2.05,105,
Simone Fontecchio,2.08,2.0,94,Any
